# File created on Thu Feb 26 18:02:13 2026
#
# time         R02m-02         I02m-02         R02m-01         I02m-01         R02m000         I02m000         R02m001         I02m001         R02m002         I02m002         R03m-03         I03m-03         R03m-02         I03m-02         R03m-01         I03m-01         R03m000         I03m000         R03m001         I03m001         R03m002         I03m002         R03m003         I03m003         R04m-04         I04m-04         R04m-03         I04m-03         R04m-02         I04m-02         R04m-01         I04m-01         R04m000         I04m000         R04m001         I04m001         R04m002         I04m002         R04m003         I04m003         R04m004         I04m004         
0              7.7547013e-08   1.0719502e-06   1.7228373e-09   -3.7045604e-12  6.3878086e-08   0               1.7228373e-09   3.7045604e-12   7.7547013e-08   -1.0719502e-06  1.2502396e-08   -8.6686257e-10  8.2318799e-11   2.1928207e-09   3.2363301e-09   -6.6206958e-10  0               1.1549251e-09   -3.2363301e-09  -6.6206958e-10  -8.2318799e-11  2.1928207e-09   -1.2502396e-08  -8.6686257e-10  4.4589929e-10   -2.6752692e-09  -1.1493695e-11  9.6554544e-12   -2.3932467e-10  -2.3011051e-09  -1.7908318e-11  -1.2470196e-11  8.5923153e-10   0               -1.7908318e-11  1.2470196e-11   -2.3932467e-10  2.3011051e-09   -1.1493695e-11  -9.6554544e-12  4.4589929e-10   2.6752692e-09  
0              1.0105234e-07   1.2981182e-06   2.2262687e-09   -3.2979991e-12  8.3249721e-08   0               2.2262687e-09   3.2979991e-12   1.0105234e-07   -1.2981182e-06  1.6153887e-08   -1.2038415e-09  1.2203533e-10   3.0212816e-09   4.1789466e-09   -9.2407691e-10  0               1.590937e-09    -4.1789466e-09  -9.2407691e-10  -1.2203533e-10  3.0212816e-09   -1.6153887e-08  -1.2038415e-09  6.503252e-10    -3.687027e-09   -1.3572962e-11  1.048435e-11    -3.5478022e-10  -3.170393e-09   -1.9617332e-11  -1.2415359e-11  1.2636366e-09   0               -1.9617332e-11  1.2415359e-11   -3.5478022e-10  3.170393e-09    -1.3572962e-11  -1.048435e-11   6.503252e-10    3.687027e-09   
0              1.3401807e-07   1.5926399e-06   2.9245086e-09   -4.9238315e-12  1.1042425e-07   0               2.9245086e-09   4.9238315e-12   1.3401807e-07   -1.5926399e-06  2.124305e-08    -1.7112145e-09  1.860639e-10    4.2582701e-09   5.4973577e-09   -1.3131048e-09  0               2.2401021e-09   -5.4973577e-09  -1.3131048e-09  -1.860639e-10   4.2582701e-09   -2.124305e-08   -1.7112145e-09  9.7409462e-10   -5.1944922e-09  -1.8910444e-11  1.4198709e-11   -5.4035677e-10  -4.4694164e-09  -2.9570346e-11  -1.8311823e-11  1.9073086e-09   0               -2.9570346e-11  1.8311823e-11   -5.4035677e-10  4.4694164e-09   -1.8910444e-11  -1.4198709e-11  9.7409462e-10   5.1944922e-09  
0              1.8136325e-07   1.9834263e-06   3.9174107e-09   -8.9009926e-12  1.4946262e-07   0               3.9174107e-09   8.9009926e-12   1.8136325e-07   -1.9834263e-06  2.8506899e-08   -2.4986177e-09  2.9089933e-10   6.1375381e-09   7.3822814e-09   -1.9111442e-09  0               3.2345897e-09   -7.3822814e-09  -1.9111442e-09  -2.9089933e-10  6.1375381e-09   -2.8506899e-08  -2.4986177e-09  1.5039863e-09   -7.5054631e-09  -3.2718052e-11  2.6363664e-11   -8.467492e-10   -6.4417776e-09  -5.0514801e-11  -3.1840759e-11  2.9700942e-09   0               -5.0514801e-11  3.1840759e-11   -8.467492e-10   6.4417776e-09   -3.2718052e-11  -2.6363664e-11  1.5039863e-09   7.5054631e-09  
0              2.5123617e-07   2.5131127e-06   5.376759e-09    -1.0258098e-11  2.0710524e-07   0               5.376759e-09    1.0258098e-11   2.5123617e-07   -2.5131127e-06  3.914725e-08    -3.7433367e-09  4.8402042e-10   9.2362191e-09   1.0136771e-08   -2.8750083e-09  0               4.8086763e-09   -1.0136771e-08  -2.8750083e-09  -4.8402042e-10  9.2362191e-09   -3.914725e-08   -3.7433367e-09  2.4055712e-09   -1.1166814e-08  -3.7192026e-11  2.4756654e-11   -1.388962e-09   -9.7024307e-09  -6.8964682e-11  -4.0490769e-11  4.789433e-09    0               -6.8964682e-11  4.0490769e-11   -1.388962e-09   9.7024307e-09   -3.7192026e-11  -2.4756654e-11  2.4055712e-09   1.1166814e-08  
0              3.5774538e-07   3.2496864e-06   7.5740801e-09   -1.8241961e-11  2.9499355e-07   0               7.5740801e-09   1.8241961e-11   3.5774538e-07   -3.2496864e-06  5.5268465e-08   -5.8298465e-09  8.0252696e-10   1.4048663e-08   1.4319926e-08   -4.4636247e-09  0               7.3975496e-09   -1.4319926e-08  -4.4636247e-09  -8.0252696e-10  1.4048663e-08   -5.5268465e-08  -5.8298465e-09  4.0106585e-09   -1.7195031e-08  -7.5025409e-11  5.7725191e-11   -2.3337911e-09  -1.4749806e-08  -1.2076267e-10  -7.0734014e-11  8.0524365e-09   0               -1.2076267e-10  7.0734014e-11   -2.3337911e-09  1.4749806e-08   -7.5025409e-11  -5.7725191e-11  4.0106585e-09   1.7195031e-08  
0              5.2631781e-07   4.304399e-06    1.1008057e-08   -4.1632651e-11  4.3418125e-07   0               1.1008057e-08   4.1632651e-11   5.2631781e-07   -4.304399e-06   8.0612785e-08   -9.4612178e-09  1.4153233e-09   2.2408021e-08   2.0925112e-08   -7.2042384e-09  0               1.185232e-08    -2.0925112e-08  -7.2042384e-09  -1.4153233e-09  2.2408021e-08   -8.0612785e-08  -9.4612178e-09  7.023933e-09    -2.7582097e-08  -1.4756606e-10  1.267006e-10    -4.1393395e-09  -2.3521872e-08  -2.4968024e-10  -1.4956819e-10  1.4222413e-08   0               -2.4968024e-10  1.4956819e-10   -4.1393395e-09  2.3521872e-08   -1.4756606e-10  -1.267006e-10   7.023933e-09    2.7582097e-08  
0              8.054723e-07    5.8689345e-06   1.6639956e-08   -7.5658012e-11  6.64903e-07     0               1.6639956e-08   7.5658012e-11   8.054723e-07    -5.8689345e-06  1.2227173e-07   -1.6107195e-08  2.7248949e-09   3.8064736e-08   3.1779134e-08   -1.2248946e-08  0               1.9946254e-08   -3.1779134e-08  -1.2248946e-08  -2.7248949e-09  3.8064736e-08   -1.2227173e-07  -1.6107195e-08  1.3058864e-08   -4.6487487e-08  -2.6045486e-10  2.2043775e-10   -7.8773559e-09  -3.9991164e-08  -4.6444582e-10  -2.704438e-10   2.6662948e-08   0               -4.6444582e-10  2.704438e-10    -7.8773559e-09  3.9991164e-08   -2.6045486e-10  -2.2043775e-10  1.3058864e-08   4.6487487e-08  
0              1.2944255e-06   8.2939982e-06   2.6417606e-08   -1.3021503e-10  1.0693472e-06   0               2.6417606e-08   1.3021503e-10   1.2944255e-06   -8.2939982e-06  1.9468603e-07   -2.9158626e-08  5.3985264e-09   6.7204932e-08   5.0665893e-08   -2.217212e-08   0               3.5664599e-08   -5.0665893e-08  -2.217212e-08   -5.3985264e-09  6.7204932e-08   -1.9468603e-07  -2.9158626e-08  2.6137772e-08   -8.3286133e-08  -4.7234125e-10  4.2023406e-10   -1.5861327e-08  -7.0547123e-08  -8.9462186e-10  -4.9382716e-10  5.3814916e-08   0               -8.9462186e-10  4.9382716e-10   -1.5861327e-08  7.0547123e-08   -4.7234125e-10  -4.2023406e-10  2.6137772e-08   8.3286133e-08  
0              2.2121829e-06   1.2259167e-05   4.439135e-08    -2.9869499e-10  1.8298379e-06   0               4.439135e-08    2.9869499e-10   2.2121829e-06   -1.2259167e-05  3.2958598e-07   -5.7153184e-08  1.2148558e-08   1.3007401e-07   8.6003482e-08   -4.3275479e-08  0               6.8854421e-08   -8.6003482e-08  -4.3275479e-08  -1.2148558e-08  1.3007401e-07   -3.2958598e-07  -5.7153184e-08  5.7422427e-08   -1.6122497e-07  -1.1157875e-09  1.0050366e-09   -3.5506141e-08  -1.3655303e-07  -2.026259e-09   -1.0864131e-09  1.1923923e-07   0               -2.026259e-09   1.0864131e-09   -3.5506141e-08  1.3655303e-07   -1.1157875e-09  -1.0050366e-09  5.7422427e-08   1.6122497e-07  
0              4.097421e-06    1.9210788e-05   8.0951232e-08   -6.9264821e-10  3.3953877e-06   0               8.0951232e-08   6.9264821e-10   4.097421e-06    -1.9210788e-05  6.046268e-07    -1.2381754e-07  3.0169744e-08   2.761761e-07    1.587989e-07    -9.3421055e-08  0               1.4691882e-07   -1.587989e-07   -9.3421055e-08  -3.0169744e-08  2.761761e-07    -6.046268e-07   -1.2381754e-07  1.4270869e-07   -3.4537811e-07  -2.1662496e-09  2.5011621e-09   -8.9032017e-08  -2.8963721e-07  -5.4675941e-09  -2.8174779e-09  2.9878573e-07   0               -5.4675941e-09  2.8174779e-09   -8.9032017e-08  2.8963721e-07   -2.1662496e-09  -2.5011621e-09  1.4270869e-07   3.4537811e-07  
0              8.4644046e-06   3.2575618e-05   1.6213058e-07   -1.9657212e-09  7.0370753e-06   0               1.6213058e-07   1.9657212e-09   8.4644046e-06   -3.2575618e-05  1.2370443e-06   -3.0911553e-07  8.9925215e-08   6.7428022e-07   3.2703254e-07   -2.3236532e-07  0               3.6173385e-07   -3.2703254e-07  -2.3236532e-07  -8.9925215e-08  6.7428022e-07   -1.2370443e-06  -3.0911553e-07  4.1822686e-07   -8.5412649e-07  -8.1022873e-09  8.4386586e-09   -2.628204e-07   -7.0735483e-07  -1.4160792e-08  -6.3539559e-09  8.8067594e-07   0               -1.4160792e-08  6.3539559e-09   -2.628204e-07   7.0735483e-07   -8.1022873e-09  -8.4386586e-09  4.1822686e-07   8.5412649e-07  
0.41666667     7.7519667e-08   1.0745447e-06   1.7223877e-09   -3.6946654e-12  6.3859011e-08   0               1.7223877e-09   3.6946654e-12   7.7519667e-08   -1.0745447e-06  1.2549085e-08   -8.6642274e-10  8.1498184e-11   2.1954329e-09   3.248403e-09    -6.6169099e-10  0               1.154795e-09    -3.248403e-09   -6.6169099e-10  -8.1498184e-11  2.1954329e-09   -1.2549085e-08  -8.6642274e-10  4.4647534e-10   -2.6887446e-09  -1.1515634e-11  9.6784483e-12   -2.3920052e-10  -2.3093019e-09  -1.7940531e-11  -1.2502413e-11  8.5940721e-10   0               -1.7940531e-11  1.2502413e-11   -2.3920052e-10  2.3093019e-09   -1.1515634e-11  -9.6784483e-12  4.4647534e-10   2.6887446e-09  
0.41666667     1.0101639e-07   1.3014528e-06   2.2256135e-09   -3.2765197e-12  8.3225149e-08   0               2.2256135e-09   3.2765197e-12   1.0101639e-07   -1.3014528e-06  1.6218039e-08   -1.2032255e-09  1.2082805e-10   3.0250935e-09   4.1955292e-09   -9.2355588e-10  0               1.5907283e-09   -4.1955292e-09  -9.2355588e-10  -1.2082805e-10  3.0250935e-09   -1.6218039e-08  -1.2032255e-09  6.5118297e-10   -3.7067841e-09  -1.3597812e-11  1.0511345e-11   -3.5459607e-10  -3.1823997e-09  -1.9651463e-11  -1.2449391e-11  1.2639126e-09   0               -1.9651463e-11  1.2449391e-11   -3.5459607e-10  3.1823997e-09   -1.3597812e-11  -1.0511345e-11  6.5118297e-10   3.7067841e-09  
0.41666667     1.3396981e-07   1.5969981e-06   2.9235198e-09   -4.8890891e-12  1.1039205e-07   0               2.9235198e-09   4.8890891e-12   1.3396981e-07   -1.5969981e-06  2.1333125e-08   -1.710336e-09   1.8423997e-10   4.2639977e-09   5.5206454e-09   -1.3123556e-09  0               2.2397675e-09   -5.5206454e-09  -1.3123556e-09  -1.8423997e-10  4.2639977e-09   -2.1333125e-08  -1.710336e-09   9.7540544e-10   -5.2242424e-09  -1.8946198e-11  1.4238587e-11   -5.4007781e-10  -4.4874964e-09  -2.9624775e-11  -1.836738e-11   1.9077491e-09   0               -2.9624775e-11  1.836738e-11    -5.4007781e-10  4.4874964e-09   -1.8946198e-11  -1.4238587e-11  9.7540544e-10   5.2242424e-09  
0.41666667     1.8129682e-07   1.9892325e-06   3.9158688e-09   -8.8469888e-12  1.4941957e-07   0               3.9158688e-09   8.8469888e-12   1.8129682e-07   -1.9892325e-06  2.8636547e-08   -2.4973448e-09  2.8805867e-10   6.1462748e-09   7.4158133e-09   -1.9100308e-09  0               3.2340264e-09   -7.4158133e-09  -1.9100308e-09  -2.8805867e-10  6.1462748e-09   -2.8636547e-08  -2.4973448e-09  1.5060553e-09   -7.5516132e-09  -3.2788405e-11  2.6441341e-11   -8.4631458e-10  -6.4697218e-09  -5.0616749e-11  -3.194508e-11   2.9708313e-09   0               -5.0616749e-11  3.194508e-11    -8.4631458e-10  6.4697218e-09   -3.2788405e-11  -2.6441341e-11  1.5060553e-09   7.5516132e-09  
0.41666667     2.5114197e-07   2.5210203e-06   5.3742877e-09   -1.0150576e-11  2.0704634e-07   0               5.3742877e-09   1.0150576e-11   2.5114197e-07   -2.5210203e-06  3.9339234e-08   -3.7413878e-09  4.7943263e-10   9.2504598e-09   1.0186422e-08   -2.873326e-09   0               4.8077003e-09   -1.0186422e-08  -2.873326e-09   -4.7943263e-10  9.2504598e-09   -3.9339234e-08  -3.7413878e-09  2.4089707e-09   -1.1240936e-08  -3.7260213e-11  2.4838408e-11   -1.3882495e-09  -9.7476125e-09  -6.9102613e-11  -4.0630736e-11  4.790719e-09    0               -6.9102613e-11  4.0630736e-11   -1.3882495e-09  9.7476125e-09   -3.7260213e-11  -2.4838408e-11  2.4089707e-09   1.1240936e-08  
0.41666667     3.5760698e-07   3.260738e-06    7.5699285e-09   -1.8049703e-11  2.9491074e-07   0               7.5699285e-09   1.8049703e-11   3.5760698e-07   -3.260738e-06   5.5562496e-08   -5.8268109e-09  7.9481285e-10   1.4071652e-08   1.4395992e-08   -4.4609318e-09  0               7.3957596e-09   -1.4395992e-08  -4.4609318e-09  -7.9481285e-10  1.4071652e-08   -5.5562496e-08  -5.8268109e-09  4.0165954e-09   -1.7319028e-08  -7.5194529e-11  5.7922058e-11   -2.3325789e-09  -1.4824431e-08  -1.2103061e-10  -7.1002819e-11  8.0549545e-09   0               -1.2103061e-10  7.1002819e-11   -2.3325789e-09  1.4824431e-08   -7.5194529e-11  -5.7922058e-11  4.0165954e-09   1.7319028e-08  
0.41666667     5.2610544e-07   4.3203221e-06   1.1000703e-08   -4.1298861e-11  4.3406101e-07   0               1.1000703e-08   4.1298861e-11   5.2610544e-07   -4.3203221e-06  8.1081363e-08   -9.4562754e-09  1.4016886e-09   2.244754e-08    2.1046445e-08   -7.1996413e-09  0               1.1848936e-08   -2.1046445e-08  -7.1996413e-09  -1.4016886e-09  2.244754e-08    -8.1081363e-08  -9.4562754e-09  7.0347741e-09   -2.779993e-08   -1.479714e-10   1.2715828e-10   -4.1371556e-09  -2.365228e-08   -2.5030398e-10  -1.5020516e-10  1.4227414e-08   0               -2.5030398e-10  1.5020516e-10   -4.1371556e-09  2.365228e-08    -1.479714e-10   -1.2715828e-10  7.0347741e-09   2.779993e-08   
0.41666667     8.0512832e-07   5.8927267e-06   1.6626217e-08   -7.4963238e-11  6.6472137e-07   0               1.6626217e-08   7.4963238e-11   8.0512832e-07   -5.8927267e-06  1.2305499e-07   -1.609857e-08   2.699252e-09    3.8138629e-08   3.198209e-08    -1.2240723e-08  0               1.9939435e-08   -3.198209e-08   -1.2240723e-08  -2.699252e-09   3.8138629e-08   -1.2305499e-07  -1.609857e-08   1.3079639e-08   -4.6893304e-08  -2.6120631e-10  2.213104e-10    -7.8731183e-09  -4.0234821e-08  -4.6570798e-10  -2.7172658e-10  2.667298e-08    0               -4.6570798e-10  2.7172658e-10   -7.8731183e-09  4.0234821e-08   -2.6120631e-10  -2.213104e-10   1.3079639e-08   4.6893304e-08  
